"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-07","Ontario","2016A000235","Full-time employment","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063973","7.4.1.2.1.1","530.6","","","","1"
"2022-07","Ontario","2016A000235","Full-time employment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064054","7.4.1.5.1.1","5871.3","","","","1"
"2022-07","Ontario","2016A000235","Full-time employment","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064081","7.4.1.6.1.1","4519.6","","","","1"
"2022-07","Ontario","2016A000235","Full-time employment","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064108","7.4.1.7.1.1","1351.7","","","","1"
"2022-07","Ontario","2016A000235","Part-time employment ","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063947","7.5.1.1.1.1","1365.0","","","","1"
"2022-07","Ontario","2016A000235","Part-time employment ","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063974","7.5.1.2.1.1","499.3","","","","1"
"2022-07","Ontario","2016A000235","Part-time employment ","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064055","7.5.1.5.1.1","865.7","","","","1"
"2022-07","Ontario","2016A000235","Part-time employment ","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064082","7.5.1.6.1.1","510.2","","","","1"
"2022-07","Ontario","2016A000235","Part-time employment ","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064109","7.5.1.7.1.1","355.5","","","","1"
"2022-07","Ontario","2016A000235","Unemployment","Both sexes","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063948","7.6.1.1.1.1","416.5","","","","1"
"2022-07","Ontario","2016A000235","Unemployment","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063975","7.6.1.2.1.1","118.8","","","","1"
"2022-07","Ontario","2016A000235","Unemployment","Both sexes","25 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064056","7.6.1.5.1.1","297.6","","","","1"
"2022-07","Ontario","2016A000235","Unemployment","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064083","7.6.1.6.1.1","214.0","","","","1"
"2022-07","Ontario","2016A000235","Unemployment","Both sexes","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2064110","7.6.1.7.1.1","83.7","","","","1"
"2022-07","Ontario","2016A000235","Unemployment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2063949","7.7.1.1.1.1","5.1","","","","1"
"2022-07","Ontario","2016A000235","Unemployment rate","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Percentage","242","units","0","v2063976","7.7.1.2.1.1","10.3","","","","1"
"2022-07","Ontario","2016A000235","Unemployment rate","Both sexes","25 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2064057","7.7.1.5.1.1","4.2","","","","1"
"2022-07","Ontario","2016A000235","Unemployment rate","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Percentage","242","units","0","v2064084","7.7.1.6.1.1","4.1","","","","1"
"2022-07","Ontario","2016A000235","Unemployment rate","Both sexes","55 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2064111","7.7.1.7.1.1","4.7","","","","1"
"2022-07","Ontario","2016A000235","Participation rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2063950","7.8.1.1.1.1","65.4","","","","1"
"2022-07","Ontario","2016A000235","Participation rate","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Percentage","242","units","0","v2063977","7.8.1.2.1.1","61.9","","","","1"
"2022-07","Ontario","2016A000235","Participation rate","Both sexes","25 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2064058","7.8.1.5.1.1","66.0","","","","1"
"2022-07","Ontario","2016A000235","Participation rate","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Percentage","242","units","0","v2064085","7.8.1.6.1.1","87.8","","","","1"
"2022-07","Ontario","2016A000235","Participation rate","Both sexes","55 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2064112","7.8.1.7.1.1","38.2","","","","1"
"2022-07","Ontario","2016A000235","Employment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2063951","7.9.1.1.1.1","62.0","","","","1"
"2022-07","Ontario","2016A000235","Employment rate","Both sexes","15 to 24 years","Estimate","Seasonally adjusted","Percentage","242","units","0","v2063978","7.9.1.2.1.1","55.5","","","","1"
"2022-07","Ontario","2016A000235","Employment rate","Both sexes","25 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2064059","7.9.1.5.1.1","63.2","","","","1"
"2022-07","Ontario","2016A000235","Employment rate","Both sexes","25 to 54 years","Estimate","Seasonally adjusted","Percentage","242","units","0","v2064086","7.9.1.6.1.1","84.2","","","","1"
"2022-07","Ontario","2016A000235","Employment rate","Both sexes","55 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2064113","7.9.1.7.1.1","36.4","","","","1"


